시도명,항목,19년_중금속_평균,20년_중금속_평균,19년_중금속_중앙치,20년_중금속_중앙치,19년_중금속_최댓값,20년_중금속_최댓값,19년_중금속_최솟값,20년_중금속_최솟값
충청남도,6가크롬 Cr6+ (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
충청남도,납 Pb (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
충청남도,비소 As (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
충청남도,수은 Hg (㎎/ℓ),0.0,4.241666666666667e-07,0.0,4.241666666666667e-07,0.0,8.483333333333334e-07,0.0,0.0
충청남도,시안 CN (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
충청남도,카드뮴 Cd (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
충청북도,6가크롬 Cr6+ (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
충청북도,납 Pb (㎎/ℓ),0.00011579761944165,0.00012271428516665,0.00011579761944165,0.00012271428516665,0.0002315952388833,0.0002454285703333,0.0,0.0
충청북도,비소 As (㎎/ℓ),4.508333370833334e-05,5.5309523625e-05,4.508333370833334e-05,5.5309523625e-05,9.016666741666668e-05,0.00011061904725,0.0,0.0
충청북도,수은 Hg (㎎/ℓ),6.07142855e-08,5.021428570833334e-07,6.07142855e-08,5.021428570833334e-07,1.21428571e-07,8.483333333333334e-07,0.0,1.5595238083333338e-07
충청북도,시안 CN (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
충청북도,카드뮴 Cd (㎎/ℓ),2.273809508333333e-06,5.142857029166668e-06,2.273809508333333e-06,5.142857029166668e-06,4.547619016666666e-06,1.0285714058333337e-05,0.0,0.0
