"구분(1)","항목별(1)",항목별(2),2019,2020
"충청남도","관리제외지역 비율",세대수 (％),0.2,0.2
"전라북도","전체 행정구역",면적 (km²),8069.13,8069.84
"전라북도","전체 행정구역",인구 (명),1849962,1835392
"전라북도","전체 행정구역",동(읍·면)수 (개),243,243
"전라북도","전체 행정구역",세대수 (가구),816191,836660
"전라북도","생활폐기물 관리구역",면적 (km²),8054.08,8054.79
"전라북도","생활폐기물 관리구역",인구 (명),1847489,1833233
"전라북도","생활폐기물 관리구역",동(읍·면)수 (개),242,242
"전라북도","생활폐기물 관리구역",세대수 (가구),815022,835648
"전라북도","생활폐기물 관리제외지역",면적 (km²),15.05,15.05
"전라북도","생활폐기물 관리제외지역",인구 (명),2473,2159
"전라북도","생활폐기물 관리제외지역",동(읍·면)수 (개),1,1
"전라북도","생활폐기물 관리제외지역",세대수 (가구),1169,1012
"전라북도","관리제외지역 비율",면적비 (％),0.2,0.2
"전라북도","관리제외지역 비율",인구비 (％),0.1,0.1
"전라북도","관리제외지역 비율",동 (％),0.4,0.4
"전라북도","관리제외지역 비율",세대수 (％),0.1,0.1
"전라남도","전체 행정구역",면적 (km²),12345.20,12348.09
"전라남도","전체 행정구역",인구 (명),1903383,1884455
"전라남도","전체 행정구역",동(읍·면)수 (개),297,297
"전라남도","전체 행정구역",세대수 (가구),872628,893152
"전라남도","생활폐기물 관리구역",면적 (km²),12157.28,12160.21
"전라남도","생활폐기물 관리구역",인구 (명),1893576,1874863
"전라남도","생활폐기물 관리구역",동(읍·면)수 (개),296,296
"전라남도","생활폐기물 관리구역",세대수 (가구),866581,887063
"전라남도","생활폐기물 관리제외지역",면적 (km²),187.92,187.88
"전라남도","생활폐기물 관리제외지역",인구 (명),9807,9592
"전라남도","생활폐기물 관리제외지역",동(읍·면)수 (개),1,1
"전라남도","생활폐기물 관리제외지역",세대수 (가구),6047,6089
"전라남도","관리제외지역 비율",면적비 (％),1.5,1.5
"전라남도","관리제외지역 비율",인구비 (％),0.5,0.5
"전라남도","관리제외지역 비율",동 (％),0.3,0.3
"전라남도","관리제외지역 비율",세대수 (％),0.7,0.7
"경상북도","전체 행정구역",면적 (km²),19033.34,19034.03
"경상북도","전체 행정구역",인구 (명),2719702,2692000
"경상북도","전체 행정구역",동(읍·면)수 (개),332,332
"경상북도","전체 행정구역",세대수 (가구),1227548,1254662
"경상북도","생활폐기물 관리구역",면적 (km²),18962.70,19031.73
"경상북도","생활폐기물 관리구역",인구 (명),2719509,2691891
"경상북도","생활폐기물 관리구역",동(읍·면)수 (개),332,332
"경상북도","생활폐기물 관리구역",세대수 (가구),1227447,1254561
"경상북도","생활폐기물 관리제외지역",면적 (km²),70.64,2.30
"경상북도","생활폐기물 관리제외지역",인구 (명),193,109
"경상북도","생활폐기물 관리제외지역",동(읍·면)수 (개),0,0
"경상북도","생활폐기물 관리제외지역",세대수 (가구),101,101
"경상북도","관리제외지역 비율",면적비 (％),0.4,0.0
"경상북도","관리제외지역 비율",인구비 (％),0.0,0.0
"경상북도","관리제외지역 비율",동 (％),0.0,0.0
"경상북도","관리제외지역 비율",세대수 (％),0.0,0.0
"경상남도","전체 행정구역",면적 (km²),10540.39,10540.55
"경상남도","전체 행정구역",인구 (명),3438081,3407455
"경상남도","전체 행정구역",동(읍·면)수 (개),308,305
"경상남도","전체 행정구역",세대수 (가구),1450822,1484601
"경상남도","생활폐기물 관리구역",면적 (km²),10483.66,10484.67
"경상남도","생활폐기물 관리구역",인구 (명),3434980,3404370
"경상남도","생활폐기물 관리구역",동(읍·면)수 (개),308,305
"경상남도","생활폐기물 관리구역",세대수 (가구),1449042,1482783
"경상남도","생활폐기물 관리제외지역",면적 (km²),56.73,55.88
"경상남도","생활폐기물 관리제외지역",인구 (명),3101,3085
"경상남도","생활폐기물 관리제외지역",동(읍·면)수 (개),0,0
"경상남도","생활폐기물 관리제외지역",세대수 (가구),1780,1818
"경상남도","관리제외지역 비율",면적비 (％),0.5,0.5
"경상남도","관리제외지역 비율",인구비 (％),0.1,0.1
"경상남도","관리제외지역 비율",동 (％),0.0,0.0
"경상남도","관리제외지역 비율",세대수 (％),0.1,0.1
"제주특별자치도","전체 행정구역",면적 (km²),1850.23,1850.21
"제주특별자치도","전체 행정구역",인구 (명),696657,697578
"제주특별자치도","전체 행정구역",동(읍·면)수 (개),43,43
"제주특별자치도","전체 행정구역",세대수 (가구),293155,302033
"제주특별자치도","생활폐기물 관리구역",면적 (km²),1850.23,1850.21
"제주특별자치도","생활폐기물 관리구역",인구 (명),696657,697578
"제주특별자치도","생활폐기물 관리구역",동(읍·면)수 (개),43,43
"제주특별자치도","생활폐기물 관리구역",세대수 (가구),293155,302033
"제주특별자치도","생활폐기물 관리제외지역",면적 (km²),0.00,0.00
"제주특별자치도","생활폐기물 관리제외지역",인구 (명),0,0
"제주특별자치도","생활폐기물 관리제외지역",동(읍·면)수 (개),0,0
"제주특별자치도","생활폐기물 관리제외지역",세대수 (가구),0,0
"제주특별자치도","관리제외지역 비율",면적비 (％),0.0,0.0
"제주특별자치도","관리제외지역 비율",인구비 (％),0.0,0.0
"제주특별자치도","관리제외지역 비율",동 (％),0.0,0.0
"제주특별자치도","관리제외지역 비율",세대수 (％),0.0,0.0
