"구분(1)",구분(2),구분(3),구분(4),2020
"부산",종량제방식 등 혼합배출,불연성,폐유리류,8238.5
"부산",종량제방식 등 혼합배출,불연성,폐토사류,309.0
"부산",종량제방식 등 혼합배출,불연성,폐타일 및 도자기류,0.0
"부산",종량제방식 등 혼합배출,불연성,연탄재,0.0
"부산",종량제방식 등 혼합배출,불연성,기타,12278.1
"부산",종량제방식 등 혼합배출,건설폐재류,건설폐재류(공사장생활폐기물),0.0
"부산",종량제방식 등 혼합배출,기타(배출불명등),소계,0.0
"부산",재활용 가능자원 분리배출,소계,소계,571235.6
"부산",재활용 가능자원 분리배출,폐지류,종이팩,193.0
"부산",재활용 가능자원 분리배출,폐지류,기타,253673.8
"부산",재활용 가능자원 분리배출,고철류,소계,39731.6
"부산",재활용 가능자원 분리배출,금속캔,소계,34727.2
"부산",재활용 가능자원 분리배출,폐합성수지류,비닐류,61042.9
"부산",재활용 가능자원 분리배출,폐합성수지류,발포수지류,7588.3
"부산",재활용 가능자원 분리배출,폐합성수지류,PET병,5408.1
"부산",재활용 가능자원 분리배출,폐합성수지류,기타,80772.4
"부산",재활용 가능자원 분리배출,폐고무류,소계,0.0
"부산",재활용 가능자원 분리배출,폐유리병류,소계,21096.4
"부산",재활용 가능자원 분리배출,폐의류,소계,9854.5
"부산",재활용 가능자원 분리배출,폐섬유류,소계,0.0
"부산",재활용 가능자원 분리배출,폐형광등,소계,396.6
"부산",재활용 가능자원 분리배출,폐전지류,소계,249.5
"부산",재활용 가능자원 분리배출,영농폐기물,농약용기류,5.2
"부산",재활용 가능자원 분리배출,영농폐기물,폐비닐,234.2
"부산",재활용 가능자원 분리배출,폐식용유,소계,0.0
"부산",재활용 가능자원 분리배출,폐전기전자제품,소계,10953.2
"부산",재활용 가능자원 분리배출,폐가구류,소계,0.0
"부산",재활용 가능자원 분리배출,기타,소계,4253.1
"부산",재활용 가능자원 분리배출,재활용 잔재물,소계,41055.6
"부산",음식물류 폐기물 분리배출,소계,소계,242014.3
"대구",합계,소계,소계,938049.8
"대구",종량제방식 등 혼합배출,소계,소계,442825.6
"대구",종량제방식 등 혼합배출,가연성,소계,336358.4
"대구",종량제방식 등 혼합배출,가연성,폐지류,78412.2
"대구",종량제방식 등 혼합배출,가연성,폐합성수지류,70208.7
"대구",종량제방식 등 혼합배출,가연성,폐고무류,2448.8
"대구",종량제방식 등 혼합배출,가연성,폐섬유류,14466.5
"대구",종량제방식 등 혼합배출,가연성,음식물류 폐기물,20727.4
"대구",종량제방식 등 혼합배출,가연성,폐목재류,6314.2
"대구",종량제방식 등 혼합배출,가연성,기타,143780.6
"대구",종량제방식 등 혼합배출,불연성,소계,25426.5
"대구",종량제방식 등 혼합배출,불연성,폐금속류,5643.9
"대구",종량제방식 등 혼합배출,불연성,폐유리류,8034.7
"대구",종량제방식 등 혼합배출,불연성,폐토사류,1119.8
"대구",종량제방식 등 혼합배출,불연성,폐타일 및 도자기류,606.4
"대구",종량제방식 등 혼합배출,불연성,연탄재,30.5
"대구",종량제방식 등 혼합배출,불연성,기타,9991.2
"대구",종량제방식 등 혼합배출,건설폐재류,건설폐재류(공사장생활폐기물),81040.7
"대구",종량제방식 등 혼합배출,기타(배출불명등),소계,0.0
"대구",재활용 가능자원 분리배출,소계,소계,275334.8
"대구",재활용 가능자원 분리배출,폐지류,종이팩,8100.0
"대구",재활용 가능자원 분리배출,폐지류,기타,58553.8
"대구",재활용 가능자원 분리배출,고철류,소계,19087.1
"대구",재활용 가능자원 분리배출,금속캔,소계,11163.4
"대구",재활용 가능자원 분리배출,폐합성수지류,비닐류,22461.1
"대구",재활용 가능자원 분리배출,폐합성수지류,발포수지류,3321.4
"대구",재활용 가능자원 분리배출,폐합성수지류,PET병,20979.6
"대구",재활용 가능자원 분리배출,폐합성수지류,기타,15824.6
"대구",재활용 가능자원 분리배출,폐고무류,소계,3.8
"대구",재활용 가능자원 분리배출,폐유리병류,소계,29065.6
"대구",재활용 가능자원 분리배출,폐의류,소계,5873.0
"대구",재활용 가능자원 분리배출,폐섬유류,소계,7358.4
"대구",재활용 가능자원 분리배출,폐형광등,소계,195.4
"대구",재활용 가능자원 분리배출,폐전지류,소계,357.6
"대구",재활용 가능자원 분리배출,영농폐기물,농약용기류,0.0
"대구",재활용 가능자원 분리배출,영농폐기물,폐비닐,393.4
"대구",재활용 가능자원 분리배출,폐식용유,소계,614.4
"대구",재활용 가능자원 분리배출,폐전기전자제품,소계,5612.9
"대구",재활용 가능자원 분리배출,폐가구류,소계,5433.4
"대구",재활용 가능자원 분리배출,기타,소계,7039.1
"대구",재활용 가능자원 분리배출,재활용 잔재물,소계,53896.8
"대구",음식물류 폐기물 분리배출,소계,소계,219889.4
"인천",합계,소계,소계,731850.7
"인천",종량제방식 등 혼합배출,소계,소계,368460.1
"인천",종량제방식 등 혼합배출,가연성,소계,340755.0
"인천",종량제방식 등 혼합배출,가연성,폐지류,79839.0
