시도명,항목,월,2019,2020
울산광역시,미세먼지 PM2.5,02,26.0,19.0
울산광역시,아황산가스,02,0.004,0.004
울산광역시,오존,02,0.03,0.028
울산광역시,이산화질소,02,0.022,0.021
울산광역시,일산화탄소,02,0.6,0.6
인천광역시,미세먼지 PM10,02,55.0,37.0
인천광역시,미세먼지 PM2.5,02,31.0,23.0
인천광역시,아황산가스,02,0.006,0.004
인천광역시,오존,02,0.023,0.023
인천광역시,이산화질소,02,0.029,0.027
인천광역시,일산화탄소,02,0.7,0.6
전라남도,미세먼지 PM10,02,47.66666666666666,32.47826086956522
전라남도,미세먼지 PM2.5,02,29.73333333333333,19.608695652173918
전라남도,아황산가스,02,0.0041333333333333,0.0029565217391304
전라남도,오존,02,0.0324,0.0315652173913043
전라남도,이산화질소,02,0.0128,0.0105652173913043
전라남도,일산화탄소,02,0.5714285714285714,0.4217391304347825
전라북도,미세먼지 PM10,02,60.333333333333336,34.15384615384615
전라북도,미세먼지 PM2.5,02,39.4,24.384615384615383
전라북도,아황산가스,02,0.0036,0.0027333333333333
전라북도,오존,02,0.0305333333333333,0.0292
전라북도,이산화질소,02,0.0141999999999999,0.0128
전라북도,일산화탄소,02,0.5357142857142857,0.42
제주특별자치도,미세먼지 PM10,02,42.0,34.666666666666664
제주특별자치도,미세먼지 PM2.5,02,24.0,20.666666666666668
제주특별자치도,아황산가스,02,0.002,0.0013333333333333
제주특별자치도,오존,02,0.0426666666666666,0.04
제주특별자치도,이산화질소,02,0.011,0.0096666666666666
제주특별자치도,일산화탄소,02,0.3999999999999999,0.3999999999999999
충청남도,미세먼지 PM10,02,57.0,43.6875
충청남도,미세먼지 PM2.5,02,34.625,30.0625
충청남도,아황산가스,02,0.00475,0.003125
충청남도,오존,02,0.0266875,0.0246875
충청남도,이산화질소,02,0.01875,0.01575
충청남도,일산화탄소,02,0.68125,0.46875
충청북도,미세먼지 PM10,02,61.66666666666666,40.91666666666666
충청북도,미세먼지 PM2.5,02,44.75,29.83333333333333
충청북도,아황산가스,02,0.0043333333333333,0.0030833333333333
충청북도,오존,02,0.0221666666666666,0.0234999999999999
충청북도,이산화질소,02,0.0233333333333333,0.0185
충청북도,일산화탄소,02,0.6416666666666667,0.6083333333333333
강원도,미세먼지 PM10,03,57.333333333333336,36.78947368421053
강원도,미세먼지 PM2.5,03,37.05555555555556,20.84210526315789
강원도,아황산가스,03,0.0029444444444444,0.0023684210526315
강원도,오존,03,0.0393888888888888,0.0356315789473684
강원도,이산화질소,03,0.0126666666666666,0.0105263157894736
강원도,일산화탄소,03,0.4944444444444444,0.4210526315789473
경기도,미세먼지 PM10,03,71.59375,48.25
경기도,미세먼지 PM2.5,03,46.53125,25.21875
경기도,아황산가스,03,0.0041875,0.00315625
경기도,오존,03,0.0301875,0.02990625
경기도,이산화질소,03,0.02709375,0.02196875
경기도,일산화탄소,03,0.5812499999999999,0.453125
경상남도,미세먼지 PM10,03,50.4,31.166666666666668
경상남도,미세먼지 PM2.5,03,25.53333333333333,15.77777777777778
경상남도,아황산가스,03,0.0035333333333333,0.0031111111111111
경상남도,오존,03,0.0442,0.0368333333333333
경상남도,이산화질소,03,0.016,0.0131111111111111
경상남도,일산화탄소,03,0.46,0.3888888888888889
경상북도,미세먼지 PM10,03,58.25,34.22727272727273
경상북도,미세먼지 PM2.5,03,33.083333333333336,18.4
경상북도,아황산가스,03,0.0034166666666666,0.0035217391304347
경상북도,오존,03,0.0401666666666666,0.0364782608695652
경상북도,이산화질소,03,0.0155833333333333,0.0108260869565217
경상북도,일산화탄소,03,0.4333333333333333,0.3909090909090909
광주광역시,미세먼지 PM10,03,63.0,35.0
광주광역시,미세먼지 PM2.5,03,39.0,18.0
광주광역시,아황산가스,03,0.002,0.003
광주광역시,오존,03,0.036,0.033
광주광역시,이산화질소,03,0.022,0.015
광주광역시,일산화탄소,03,0.5,0.4
대구광역시,미세먼지 PM10,03,54.0,38.0
대구광역시,미세먼지 PM2.5,03,33.0,20.0
대구광역시,아황산가스,03,0.003,0.003
대구광역시,오존,03,0.036,0.03
대구광역시,이산화질소,03,0.021,0.017
대구광역시,일산화탄소,03,0.5,0.4
