지역,종류,날짜,수치
강원도,이산화질소,2019.02,0.014055555555555556
강원도,일산화탄소,2019.02,0.5470588235294118
경기도,미세먼지 PM10,2019.02,61.41935483870968
경기도,미세먼지 PM2.5,2019.02,38.0625
경기도,아황산가스,2019.02,0.0041875
경기도,오존,2019.02,0.01971875
경기도,이산화질소,2019.02,0.029687500000000002
경기도,일산화탄소,2019.02,0.6281249999999999
경상남도,미세먼지 PM10,2019.02,50.4
경상남도,미세먼지 PM2.5,2019.02,25.0
경상남도,아황산가스,2019.02,0.003533333333333333
경상남도,오존,2019.02,0.03173333333333333
경상남도,이산화질소,2019.02,0.017066666666666667
경상남도,일산화탄소,2019.02,0.49333333333333335
경상북도,미세먼지 PM10,2019.02,57.888888888888886
경상북도,미세먼지 PM2.5,2019.02,34.1
경상북도,아황산가스,2019.02,0.003888888888888889
경상북도,오존,2019.02,0.027444444444444445
경상북도,이산화질소,2019.02,0.018444444444444444
경상북도,일산화탄소,2019.02,0.5222222222222223
광주광역시,미세먼지 PM10,2019.02,57.0
광주광역시,미세먼지 PM2.5,2019.02,34.0
광주광역시,아황산가스,2019.02,0.003
광주광역시,오존,2019.02,0.028
광주광역시,이산화질소,2019.02,0.02
광주광역시,일산화탄소,2019.02,0.6
대구광역시,미세먼지 PM10,2019.02,54.0
대구광역시,미세먼지 PM2.5,2019.02,33.0
대구광역시,아황산가스,2019.02,0.003
대구광역시,오존,2019.02,0.024
대구광역시,이산화질소,2019.02,0.026
대구광역시,일산화탄소,2019.02,0.6
대전광역시,미세먼지 PM10,2019.02,62.0
대전광역시,미세먼지 PM2.5,2019.02,36.0
대전광역시,아황산가스,2019.02,0.003
대전광역시,오존,2019.02,0.016
대전광역시,이산화질소,2019.02,0.027
대전광역시,일산화탄소,2019.02,0.6
부산광역시,미세먼지 PM10,2019.02,48.0
부산광역시,미세먼지 PM2.5,2019.02,28.0
부산광역시,아황산가스,2019.02,0.004
부산광역시,오존,2019.02,0.029
부산광역시,이산화질소,2019.02,0.022
부산광역시,일산화탄소,2019.02,0.4
서울특별시,미세먼지 PM10,2019.02,57.0
서울특별시,미세먼지 PM2.5,2019.02,35.0
서울특별시,아황산가스,2019.02,0.005
서울특별시,오존,2019.02,0.018
서울특별시,이산화질소,2019.02,0.036
서울특별시,일산화탄소,2019.02,0.7
세종특별자치시,미세먼지 PM10,2019.02,64.0
세종특별자치시,미세먼지 PM2.5,2019.02,41.0
세종특별자치시,아황산가스,2019.02,0.004
세종특별자치시,오존,2019.02,0.02
세종특별자치시,이산화질소,2019.02,0.021
세종특별자치시,일산화탄소,2019.02,0.6
울산광역시,미세먼지 PM10,2019.02,46.0
울산광역시,미세먼지 PM2.5,2019.02,26.0
울산광역시,아황산가스,2019.02,0.004
울산광역시,오존,2019.02,0.03
울산광역시,이산화질소,2019.02,0.022
울산광역시,일산화탄소,2019.02,0.6
인천광역시,미세먼지 PM10,2019.02,55.0
인천광역시,미세먼지 PM2.5,2019.02,31.0
인천광역시,아황산가스,2019.02,0.006
인천광역시,오존,2019.02,0.023
인천광역시,이산화질소,2019.02,0.029
인천광역시,일산화탄소,2019.02,0.7
전라남도,미세먼지 PM10,2019.02,47.666666666666664
전라남도,미세먼지 PM2.5,2019.02,29.733333333333334
전라남도,아황산가스,2019.02,0.0041333333333333335
전라남도,오존,2019.02,0.0324
