"죄종별(1)","죄종별(2)",전과별(1),전과별(2),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"강력범죄","방화",전과있음,5범,69,68,74,66,88,69,68,83,59,57
"강력범죄","방화",전과있음,6범,56,53,55,61,62,42,44,48,46,49
"강력범죄","방화",전과있음,7범,70,45,53,38,56,43,48,54,44,37
"강력범죄","방화",전과있음,8범,42,36,36,47,44,34,36,27,44,29
"강력범죄","방화",전과있음,9범이상,249,264,251,295,288,262,240,277,233,235
"강력범죄","방화",미상,소계,-,95,87,99,122,130,140,120,173,147
"절도범죄","소계",계,소계,111390,104434,102658,95645,103166,106415,105695,97334,101295,98425
"절도범죄","소계",없음,소계,53216,42335,38181,36876,39580,40423,38442,33587,35373,33627
"절도범죄","소계",전과있음,소계,58174,55074,57561,51686,55565,57388,57650,54257,55685,54665
"절도범죄","소계",전과있음,1범,14181,13445,13345,12024,12737,12962,12905,11623,12035,11822
"절도범죄","소계",전과있음,2범,9003,8449,8366,7474,7903,8252,8153,7559,7684,7663
"절도범죄","소계",전과있음,3범,6594,6198,6084,5314,5602,5869,5860,5337,5559,5489
"절도범죄","소계",전과있음,4범,4811,4448,4662,4086,4348,4388,4506,4137,4183,4113
"절도범죄","소계",전과있음,5범,3882,3629,3842,3332,3557,3645,3763,3330,3473,3332
"절도범죄","소계",전과있음,6범,3082,2955,3083,2738,2864,2848,2929,2722,2780,2662
"절도범죄","소계",전과있음,7범,2507,2358,2519,2167,2286,2415,2341,2267,2238,2281
"절도범죄","소계",전과있음,8범,2170,2028,2037,1741,1972,1970,1944,1746,1873,1792
"절도범죄","소계",전과있음,9범이상,11944,11564,13623,12810,14296,15039,15249,15536,15860,15511
"절도범죄","소계",미상,소계,-,7025,6916,7083,8021,8604,9603,9490,10237,10133
"폭력범죄","소계",계,소계,392042,400282,369913,358275,372723,380965,363511,348969,346561,313990
"폭력범죄","소계",없음,소계,190012,90204,75741,71680,74012,74646,71079,67793,68263,61284
"폭력범죄","소계",전과있음,소계,202030,207015,192985,179814,180819,180520,168271,159597,159208,147141
"폭력범죄","소계",전과있음,1범,39494,41985,37147,34514,35207,35380,32762,30842,30776,27905
"폭력범죄","소계",전과있음,2범,28939,29288,27586,25572,25873,25477,24402,22440,22569,20263
"폭력범죄","소계",전과있음,3범,23216,23197,21409,19749,19752,19894,18604,17587,17416,16150
"폭력범죄","소계",전과있음,4범,17851,18156,16768,15506,15665,15354,14372,13854,13351,12360
"폭력범죄","소계",전과있음,5범,14366,14472,13962,12767,12679,12774,11844,11194,11098,10352
