"죄종별(1)","죄종별(2)","재범종류별(1)",재범기간별(1),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"폭력범죄","약취·유인","계",계,165,139,117,123,112,135,126,104,131,118
"폭력범죄","약취·유인","동종",계,25,20,21,16,24,19,18,17,23,16
"폭력범죄","약취·유인","동종",1개월이내,2,2,2,-,1,1,-,1,2,2
"폭력범죄","약취·유인","동종",3개월이내,-,2,4,4,1,3,-,1,1,-
"폭력범죄","약취·유인","동종",6개월이내,2,1,2,1,2,-,1,1,5,3
"폭력범죄","약취·유인","동종",1년이내,7,6,2,6,6,5,3,4,6,6
"폭력범죄","약취·유인","동종",2년이내,5,2,3,2,2,1,4,2,2,1
"폭력범죄","약취·유인","동종",3년이내,5,3,5,3,3,3,5,2,3,-
"폭력범죄","약취·유인","동종",3년초과,4,4,3,-,9,6,5,6,4,4
"폭력범죄","약취·유인","이종",계,140,119,96,107,88,116,108,87,108,102
"폭력범죄","약취·유인","이종",1개월이내,8,2,3,3,-,1,2,-,3,3
"폭력범죄","약취·유인","이종",3개월이내,3,8,5,6,5,8,8,5,8,6
"폭력범죄","약취·유인","이종",6개월이내,9,7,2,3,8,7,8,8,4,7
"폭력범죄","약취·유인","이종",1년이내,29,25,17,19,26,24,25,19,14,21
"폭력범죄","약취·유인","이종",2년이내,12,13,8,8,7,13,10,6,18,15
"폭력범죄","약취·유인","이종",3년이내,14,17,15,6,13,16,7,7,15,2
"폭력범죄","약취·유인","이종",3년초과,65,47,46,62,29,47,48,42,46,48
"폭력범죄","폭력행위등","계",계,53990,59117,51986,45358,41346,20737,18276,15524,13575,12499
"폭력범죄","폭력행위등","동종",계,19773,20628,17937,14944,12757,6665,5865,5213,4557,4111
"폭력범죄","폭력행위등","동종",1개월이내,804,1005,690,506,433,266,261,278,268,247
"폭력범죄","폭력행위등","동종",3개월이내,1380,1576,1246,922,898,517,500,482,413,394
"폭력범죄","폭력행위등","동종",6개월이내,1216,1553,1255,1179,913,531,558,489,424,436
"폭력범죄","폭력행위등","동종",1년이내,4316,4600,4019,3325,2925,1650,1409,1303,1211,1117
"폭력범죄","폭력행위등","동종",2년이내,2685,2712,2497,2272,1755,931,787,757,666,574
"폭력범죄","폭력행위등","동종",3년이내,2839,2763,2531,1924,1742,840,753,708,547,499
"폭력범죄","폭력행위등","동종",3년초과,6533,6419,5699,4816,4091,1930,1597,1196,1028,844
"폭력범죄","폭력행위등","이종",계,34217,38489,34049,30414,28589,14072,12411,10311,9018,8388
"폭력범죄","폭력행위등","이종",1개월이내,889,1429,873,750,572,407,326,266,250,245
"폭력범죄","폭력행위등","이종",3개월이내,1597,1885,1345,1092,1108,653,658,525,453,428
"폭력범죄","폭력행위등","이종",6개월이내,1648,1947,1604,1582,1429,697,737,586,501,465
