범죄명,연도,검거기간,범죄종류,범죄자수
살인기수,2012,10일이내,강력범죄,41
살인기수,2012,1개월이내,강력범죄,21
살인기수,2012,3개월이내,강력범죄,30
살인기수,2012,6개월이내,강력범죄,15
살인기수,2012,1년이내,강력범죄,8
살인기수,2012,1년초과,강력범죄,22
살인미수등,2012,1일이내,강력범죄,412
살인미수등,2012,2일이내,강력범죄,13
살인미수등,2012,3일이내,강력범죄,7
살인미수등,2012,10일이내,강력범죄,35
살인미수등,2012,1개월이내,강력범죄,34
살인미수등,2012,3개월이내,강력범죄,28
살인미수등,2012,6개월이내,강력범죄,13
살인미수등,2012,1년이내,강력범죄,9
살인미수등,2012,1년초과,강력범죄,25
강도,2012,1일이내,강력범죄,775
강도,2012,2일이내,강력범죄,89
강도,2012,3일이내,강력범죄,73
강도,2012,10일이내,강력범죄,337
강도,2012,1개월이내,강력범죄,353
강도,2012,3개월이내,강력범죄,255
강도,2012,6개월이내,강력범죄,106
강도,2012,1년이내,강력범죄,73
강도,2012,1년초과,강력범죄,179
강도,2012,미상,강력범죄,0
강간·강제추행,2012,1일이내,강력범죄,7118
강간·강제추행,2012,2일이내,강력범죄,388
강간·강제추행,2012,3일이내,강력범죄,400
강간·강제추행,2012,10일이내,강력범죄,1869
강간·강제추행,2012,1개월이내,강력범죄,2335
강간·강제추행,2012,3개월이내,강력범죄,2106
강간·강제추행,2012,6개월이내,강력범죄,864
강간·강제추행,2012,1년이내,강력범죄,593
강간·강제추행,2012,1년초과,강력범죄,957
강간,2012,1일이내,강력범죄,0
강간,2012,2일이내,강력범죄,0
강간,2012,3일이내,강력범죄,0
강간,2012,10일이내,강력범죄,0
강간,2012,1개월이내,강력범죄,0
강간,2012,3개월이내,강력범죄,0
강간,2012,6개월이내,강력범죄,0
강간,2012,1년이내,강력범죄,0
강간,2012,1년초과,강력범죄,0
유사강간,2012,1일이내,강력범죄,0
유사강간,2012,2일이내,강력범죄,0
유사강간,2012,3일이내,강력범죄,0
유사강간,2012,10일이내,강력범죄,0
유사강간,2012,1개월이내,강력범죄,0
유사강간,2012,3개월이내,강력범죄,0
유사강간,2012,6개월이내,강력범죄,0
유사강간,2012,1년이내,강력범죄,0
유사강간,2012,1년초과,강력범죄,0
강제추행,2012,1일이내,강력범죄,0
강제추행,2012,2일이내,강력범죄,0
강제추행,2012,3일이내,강력범죄,0
강제추행,2012,10일이내,강력범죄,0
강제추행,2012,1개월이내,강력범죄,0
강제추행,2012,3개월이내,강력범죄,0
강제추행,2012,6개월이내,강력범죄,0
강제추행,2012,1년이내,강력범죄,0
강제추행,2012,1년초과,강력범죄,0
