"특성별(1)","특성별(2)","특성별(3)",특성별(4),배달앱및대행별(1),이용여부및비용별(1),이용여부및비용별(2),2019,2020
"업종별","일반음식점 외","주점업",소계,배달앱,월평균 비용,5만원~15만원 미만 (%),4.4,7.3
"업종별","일반음식점 외","주점업",소계,배달앱,월평균 비용,15만원~50만원 미만 (%),80.8,64.4
"업종별","일반음식점 외","주점업",소계,배달앱,월평균 비용,50만원 이상 (%),4.6,23.3
"업종별","일반음식점 외","주점업",소계,배달앱,월평균 비용,모름 (%),-,1.6
"업종별","일반음식점 외","주점업",소계,배달앱,월평균 비용,평균 (원),243016.9,387605.1
"업종별","일반음식점 외","주점업",소계,배달대행,이용여부 (%),예,1.8,3.7
"업종별","일반음식점 외","주점업",소계,배달대행,이용여부 (%),아니오,98.2,96.3
"업종별","일반음식점 외","주점업",소계,배달대행,월평균 비용,5만원 미만 (%),18.7,5.2
"업종별","일반음식점 외","주점업",소계,배달대행,월평균 비용,5만원~15만원 미만 (%),18.7,13.9
"업종별","일반음식점 외","주점업",소계,배달대행,월평균 비용,15만원~50만원 미만 (%),15.6,58.7
"업종별","일반음식점 외","주점업",소계,배달대행,월평균 비용,50만원 이상 (%),46.9,19.7
"업종별","일반음식점 외","주점업",소계,배달대행,월평균 비용,모름 (%),-,2.5
"업종별","일반음식점 외","주점업",소계,배달대행,월평균 비용,평균 (원),384897.2,374274.7
"업종별","일반음식점 외","비알콜 음료점업",소계,배달앱,이용여부 (%),예,6.6,14.0
"업종별","일반음식점 외","비알콜 음료점업",소계,배달앱,이용여부 (%),아니오,93.4,86.0
"업종별","일반음식점 외","비알콜 음료점업",소계,배달앱,월평균 비용,5만원 미만 (%),0.0,13.6
"업종별","일반음식점 외","비알콜 음료점업",소계,배달앱,월평균 비용,5만원~15만원 미만 (%),6.7,40.0
"업종별","일반음식점 외","비알콜 음료점업",소계,배달앱,월평균 비용,15만원~50만원 미만 (%),80.6,31.3
"업종별","일반음식점 외","비알콜 음료점업",소계,배달앱,월평균 비용,50만원 이상 (%),12.7,9.8
"업종별","일반음식점 외","비알콜 음료점업",소계,배달앱,월평균 비용,모름 (%),-,5.3
"업종별","일반음식점 외","비알콜 음료점업",소계,배달앱,월평균 비용,평균 (원),240676.0,205828.8
"업종별","일반음식점 외","비알콜 음료점업",소계,배달대행,이용여부 (%),예,4.3,7.7
"업종별","일반음식점 외","비알콜 음료점업",소계,배달대행,이용여부 (%),아니오,95.7,92.3
"업종별","일반음식점 외","비알콜 음료점업",소계,배달대행,월평균 비용,5만원 미만 (%),9.9,21.3
"업종별","일반음식점 외","비알콜 음료점업",소계,배달대행,월평균 비용,5만원~15만원 미만 (%),38.1,17.3
"업종별","일반음식점 외","비알콜 음료점업",소계,배달대행,월평균 비용,15만원~50만원 미만 (%),27.5,30.6
"업종별","일반음식점 외","비알콜 음료점업",소계,배달대행,월평균 비용,50만원 이상 (%),24.5,20.3
"업종별","일반음식점 외","비알콜 음료점업",소계,배달대행,월평균 비용,모름 (%),-,10.4
"업종별","일반음식점 외","비알콜 음료점업",소계,배달대행,월평균 비용,평균 (원),396138.2,531550.6
"운영형태별","프랜차이즈","소계",소계,배달앱,이용여부 (%),예,28.9,44.2
"운영형태별","프랜차이즈","소계",소계,배달앱,이용여부 (%),아니오,71.1,55.8
