iter	Passed	Remaining
1356	309	374
1357	309	374
1358	309	373
1359	309	373
1360	309	373
1361	311	374
1362	311	374
1363	311	374
1364	312	373
1365	312	373
1366	312	373
1367	312	373
1368	312	372
1369	314	373
1370	314	373
1371	314	373
1372	314	373
1373	315	372
1374	315	372
1375	315	372
1376	315	372
1377	315	371
1378	316	371
1379	316	371
1380	316	371
1381	316	370
1382	316	370
1383	317	370
1384	317	370
1385	317	369
1386	317	369
1387	317	369
1388	318	369
1389	318	368
1390	318	368
1391	319	368
1392	319	368
1393	319	367
1394	319	367
1395	319	367
1396	320	367
1397	320	367
1398	320	366
1399	320	366
1400	321	366
1401	321	366
1402	321	366
1403	321	365
1404	322	365
1405	322	365
1406	322	365
1407	322	364
1408	323	364
1409	323	364
1410	323	364
1411	323	364
1412	324	364
1413	324	363
1414	324	363
1415	324	363
1416	325	363
1417	325	362
1418	325	362
1419	325	362
1420	326	362
1421	326	362
1422	326	362
1423	326	361
1424	327	361
1425	327	361
1426	327	361
1427	327	360
1428	328	360
1429	328	360
1430	328	360
1431	328	359
1432	329	359
1433	329	359
1434	329	359
1435	329	359
1436	330	359
1437	330	359
1438	331	359
1439	331	358
1440	331	358
1441	331	358
1442	332	358
1443	332	358
1444	332	357
1445	332	357
1446	333	357
1447	333	357
1448	333	356
1449	333	356
1450	333	356
1451	334	356
1452	334	355
1453	334	355
1454	334	355
1455	334	355
1456	334	354
1457	335	354
1458	335	354
1459	335	353
1460	335	353
1461	335	353
1462	336	353
1463	336	352
1464	336	352
1465	338	353
1466	338	353
1467	338	353
1468	338	353
1469	339	352
1470	339	352
1471	339	352
1472	339	351
1473	339	351
1474	339	351
1475	340	351
1476	340	350
1477	340	350
1478	340	350
1479	340	350
1480	341	349
1481	341	349
1482	341	349
1483	341	349
1484	342	348
1485	342	348
1486	342	348
1487	342	348
1488	342	347
1489	343	347
1490	343	347
1491	343	347
1492	343	346
1493	343	346
1494	343	346
1495	344	346
1496	344	345
1497	344	345
1498	344	345
1499	344	344
1500	345	344
1501	345	344
1502	345	344
1503	345	343
1504	345	343
1505	346	343
1506	346	343
1507	346	342
1508	346	342
1509	347	342
1510	347	342
1511	347	342
1512	347	341
1513	348	341
1514	348	341
1515	348	341
1516	348	340
1517	348	340
1518	349	340
1519	349	340
1520	349	340
1521	350	340
1522	350	339
1523	350	339
1524	350	339
1525	351	339
1526	351	338
1527	351	338
1528	351	338
1529	351	338
1530	352	337
1531	352	337
1532	352	337
1533	353	337
1534	353	337
1535	353	336
1536	353	336
1537	353	336
1538	354	336
1539	354	335
1540	354	335
1541	354	335
1542	355	335
1543	355	335
1544	355	334
1545	355	334
1546	355	334
1547	356	334
1548	356	333
1549	356	333
1550	356	333
1551	356	333
1552	357	332
1553	357	332
1554	357	332
1555	357	332
1556	358	331
1557	358	331
1558	358	331
1559	358	331
1560	358	330
1561	359	330
1562	359	330
1563	359	330
1564	359	329
1565	359	329
1566	360	329
1567	360	329
1568	360	328
1569	360	328
1570	360	328
1571	360	327
1572	361	327
1573	361	327
1574	361	327
1575	361	326
1576	362	327
1577	362	326
1578	362	326
1579	363	326
1580	363	326
1581	363	325
1582	363	325
1583	364	325
1584	364	325
1585	364	324
1586	364	324
1587	364	324
1588	364	324
1589	365	323
1590	365	323
1591	365	323
1592	365	323
1593	365	322
1594	366	322
1595	366	322
1596	366	322
1597	366	321
1598	366	321
1599	367	321
1600	367	320
1601	367	320
1602	367	320
1603	367	320
1604	368	319
1605	368	319
1606	368	319
1607	368	319
1608	368	318
1609	368	318
1610	369	318
1611	369	317
1612	369	317
1613	369	317
1614	369	317
1615	370	316
1616	370	316
1617	370	316
1618	370	316
1619	370	315
1620	371	315
1621	371	315
1622	371	315
1623	371	314
1624	371	314
1625	372	314
1626	372	314
1627	372	313
1628	372	313
1629	373	313
1630	373	313
1631	373	313
1632	373	312
1633	374	312
1634	374	312
1635	374	312
1636	374	311
1637	374	311
1638	375	311
1639	375	311
1640	375	310
1641	375	310
